Language1,Language2,Proficiency,LanguageEmbeddingDistance,AvgNounDistance,AvgJaccardDistance
AR # Arabic,ZH # Mandarin,B2,0.0011619925,0.02651479,0.2457056832056832
BN # Bengali,DE # German,B2,0.002121091,0.027828226,0.26104451104451104
BN # Bengali,ES # Spanish,B2,0.0012724996,0.02517461,0.2325082325082325
BN # Bengali,FA # Persian,B2,0.001236856,0.024928384,0.22756872756872756
BN # Bengali,FR # French,B2,0.002534628,0.03298845,0.273663065329732
BN # Bengali,GA # Irish,B2,0.0030103922,0.03555125,0.3235190735190735
BN # Bengali,HE # Hebrew,B2,0.002038002,0.033468004,0.2678224553224553
BN # Bengali,HI # Hindi,B2,0.002228856,0.030143542,0.26806989306989304
BN # Bengali,IT # Italian,B2,0.0018226504,0.030496515,0.24770728998670175
BN # Bengali,JA # Japanese,B2,0.0010601878,0.023597606,0.23486004736004734
BN # Bengali,KO # Korean,B2,0.00111866,0.02342142,0.22561697561697558
BN # Bengali,LV # Latvian,B2,0.0014266968,0.023756444,0.21803890553890554
BN # Bengali,PL # Polish,B2,0.0011123419,0.024450634,0.22964824527324523
BN # Bengali,PS # Pashto,B2,0.0007544756,0.021709554,0.2115060865060865
BN # Bengali,PT # Portuguese,B2,0.00096035004,0.025370216,0.24484774484774485
BN # Bengali,RU # Russian,B2,0.0016522408,0.029397838,0.25817238317238317
BN # Bengali,SQ # Albanian,B2,0.0008621216,0.021946423,0.2131179006179006
BN # Bengali,SW # Swahili,B2,0.0007945895,0.01851884,0.17413142413142413
BN # Bengali,TH # Thai,B2,0.0010560751,0.022216382,0.2138093388093388
BN # Bengali,TR # Turkish,B2,0.0016292334,0.026387027,0.24233867983867985
BN # Bengali,UR # Urdu,B2,0.0011188388,0.02384977,0.23005004255004252
BN # Bengali,VI # Vietnamese,B2,0.0008761287,0.019728366,0.19710613460613458
BN # Bengali,ZH # Mandarin,B2,0.0007727742,0.021549575,0.21685721685721684
DE # German,ES # Spanish,B2,0.0018499494,0.025708519,0.2508787508787509
DE # German,FA # Persian,B2,0.0026970506,0.030183742,0.27818015318015316
DE # German,FR # French,B2,0.0026859045,0.027630784,0.22256981172422347
DE # German,GA # Irish,B2,0.002107799,0.028323151,0.25654438154438153
DE # German,HE # Hebrew,B2,0.0017735958,0.026674125,0.22755080567580566
DE # German,HI # Hindi,B2,0.0014947653,0.028403789,0.2530802530802531
DE # German,IT # Italian,B2,0.0021112561,0.027522987,0.2318728724978725
DE # German,JA # Japanese,B2,0.0029307604,0.03247552,0.29982979982979985
DE # German,KO # Korean,B2,0.0013639331,0.022561984,0.22677091427091428
DE # German,LV # Latvian,B2,0.001496017,0.024088796,0.23196016946016945
DE # German,PL # Polish,B2,0.0015333295,0.02605217,0.24742676305176303
DE # German,PS # Pashto,B2,0.0017930269,0.024049371,0.22985347985347981
DE # German,PT # Portuguese,B2,0.0009902716,0.01896132,0.19224294224294225
DE # German,RU # Russian,B2,0.0018906593,0.02585807,0.22727735227735227
DE # German,SQ # Albanian,B2,0.0016743541,0.023307279,0.22701603951603952
DE # German,SW # Swahili,B2,0.0017058849,0.02304215,0.23285048285048285
DE # German,TH # Thai,B2,0.002333641,0.025842382,0.2442256817256817
